SampleID	SourceASV	Count
SRR5989559	b9779a83e705307c6596e4741240726c	17.0
SRR5989558	b9779a83e705307c6596e4741240726c	35.0
SRR5989557	b9779a83e705307c6596e4741240726c	15.0
SRR5989567	b9779a83e705307c6596e4741240726c	39.0
SRR5989566	b9779a83e705307c6596e4741240726c	35.0
SRR5989585	b9779a83e705307c6596e4741240726c	27.0
SRR5989530	b9779a83e705307c6596e4741240726c	32.0
SRR5989529	b9779a83e705307c6596e4741240726c	72.0
SRR5989528	b9779a83e705307c6596e4741240726c	24.0
SRR5989535	b9779a83e705307c6596e4741240726c	24.0
SRR5989534	b9779a83e705307c6596e4741240726c	20.0
SRR5989533	b9779a83e705307c6596e4741240726c	29.0
SRR5989620	b9779a83e705307c6596e4741240726c	39.0
SRR5989617	b9779a83e705307c6596e4741240726c	231.0
SRR5989618	b9779a83e705307c6596e4741240726c	89.0
SRR5989615	b9779a83e705307c6596e4741240726c	20.0
SRR5989628	b9779a83e705307c6596e4741240726c	33.0
SRR5989619	b9779a83e705307c6596e4741240726c	84.0
SRR5989625	b9779a83e705307c6596e4741240726c	164.0
SRR5989626	b9779a83e705307c6596e4741240726c	168.0
SRR5989524	b9779a83e705307c6596e4741240726c	232.0
SRR5989525	b9779a83e705307c6596e4741240726c	187.0
SRR5989522	b9779a83e705307c6596e4741240726c	181.0
SRR5989523	b9779a83e705307c6596e4741240726c	115.0
SRR5989520	b9779a83e705307c6596e4741240726c	203.0
SRR5989623	b9779a83e705307c6596e4741240726c	76617.0
SRR5989601	b9779a83e705307c6596e4741240726c	19083.0
SRR5989602	b9779a83e705307c6596e4741240726c	50816.0
SRR5989599	b9779a83e705307c6596e4741240726c	57381.0
SRR5989600	b9779a83e705307c6596e4741240726c	46186.0
SRR5989597	b9779a83e705307c6596e4741240726c	51494.0
SRR5989598	b9779a83e705307c6596e4741240726c	52295.0
SRR5989595	b9779a83e705307c6596e4741240726c	51848.0
SRR5989596	b9779a83e705307c6596e4741240726c	48114.0
SRR5989603	b9779a83e705307c6596e4741240726c	51285.0
SRR5989604	b9779a83e705307c6596e4741240726c	54234.0
SRR5989571	b9779a83e705307c6596e4741240726c	53089.0
SRR5989570	b9779a83e705307c6596e4741240726c	61017.0
SRR5989555	b9779a83e705307c6596e4741240726c	2350.0
SRR5989577	b9779a83e705307c6596e4741240726c	12062.0
SRR5989578	b9779a83e705307c6596e4741240726c	9963.0
SRR5989575	b9779a83e705307c6596e4741240726c	573.0
SRR5989576	b9779a83e705307c6596e4741240726c	44524.0
SRR5989581	b9779a83e705307c6596e4741240726c	2203.0
SRR5989592	b9779a83e705307c6596e4741240726c	1053.0
SRR5989593	b9779a83e705307c6596e4741240726c	10711.0
SRR5989594	b9779a83e705307c6596e4741240726c	4508.0
SRR5989548	b9779a83e705307c6596e4741240726c	7642.0
SRR5989547	b9779a83e705307c6596e4741240726c	15951.0
SRR5989550	b9779a83e705307c6596e4741240726c	140.0
SRR5989559	e0b0817162b44d0e17a1c50486839924	9103.0
SRR5989558	e0b0817162b44d0e17a1c50486839924	7304.0
SRR5989557	e0b0817162b44d0e17a1c50486839924	11443.0
SRR5989567	e0b0817162b44d0e17a1c50486839924	10428.0
SRR5989566	e0b0817162b44d0e17a1c50486839924	11872.0
SRR5989585	e0b0817162b44d0e17a1c50486839924	10936.0
SRR5989530	e0b0817162b44d0e17a1c50486839924	11110.0
SRR5989529	e0b0817162b44d0e17a1c50486839924	15523.0
SRR5989528	e0b0817162b44d0e17a1c50486839924	7799.0
SRR5989535	e0b0817162b44d0e17a1c50486839924	13225.0
SRR5989534	e0b0817162b44d0e17a1c50486839924	9871.0
SRR5989533	e0b0817162b44d0e17a1c50486839924	7702.0
SRR5989620	e0b0817162b44d0e17a1c50486839924	12072.0
SRR5989617	e0b0817162b44d0e17a1c50486839924	15059.0
SRR5989618	e0b0817162b44d0e17a1c50486839924	9045.0
SRR5989615	e0b0817162b44d0e17a1c50486839924	10471.0
SRR5989628	e0b0817162b44d0e17a1c50486839924	13118.0
SRR5989619	e0b0817162b44d0e17a1c50486839924	14116.0
SRR5989625	e0b0817162b44d0e17a1c50486839924	12599.0
SRR5989626	e0b0817162b44d0e17a1c50486839924	12654.0
SRR5989524	e0b0817162b44d0e17a1c50486839924	14080.0
SRR5989525	e0b0817162b44d0e17a1c50486839924	13601.0
SRR5989522	e0b0817162b44d0e17a1c50486839924	14203.0
SRR5989523	e0b0817162b44d0e17a1c50486839924	12241.0
SRR5989520	e0b0817162b44d0e17a1c50486839924	11116.0
SRR5989623	e0b0817162b44d0e17a1c50486839924	404.0
SRR5989601	e0b0817162b44d0e17a1c50486839924	1511.0
SRR5989602	e0b0817162b44d0e17a1c50486839924	361.0
SRR5989599	e0b0817162b44d0e17a1c50486839924	42.0
SRR5989600	e0b0817162b44d0e17a1c50486839924	1193.0
