SourceASV	SRR5989520	SRR5989522	SRR5989523	SRR5989524	SRR5989525	SRR5989528	SRR5989529	SRR5989530	SRR5989533	SRR5989534	SRR5989535	SRR5989547	SRR5989548	SRR5989550	SRR5989555	SRR5989557	SRR5989558	SRR5989559	SRR5989566	SRR5989567	SRR5989570	SRR5989571	SRR5989575	SRR5989576	SRR5989577	SRR5989578	SRR5989581	SRR5989585	SRR5989592	SRR5989593	SRR5989594	SRR5989595	SRR5989596	SRR5989597	SRR5989598	SRR5989599	SRR5989600	SRR5989601	SRR5989602	SRR5989603	SRR5989604	SRR5989615	SRR5989617	SRR5989618	SRR5989619	SRR5989620	SRR5989621	SRR5989623	SRR5989625	SRR5989626	SRR5989628
0079b124f1fc509c2e4c8de0203f201a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0
023dacb5ea66c0dde52536497db76f80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0
0646f27b08cef303c363429f1222c176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
082f5eb2bc1e2ada0d7487422568ca5c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0
091a6fe437c9cd2484dd25e69c690bf6	98	113	0	39	578	0	13	0	525	913	23	59	71	542	26	0	0	0	1485	22	10	0	11	56	127	23	183	1267	0	24	14	65	0	19	0	6	178	0	0	19	0	51	20	14	2487	11	194	53	655	2072	1809
0952409f76acc93b434ab35321aa27da	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0
0f898170dbe4592000abdcde0dd2ba2e	0	28	0	0	185	0	0	0	174	287	0	0	0	187	0	0	0	0	453	0	0	0	0	0	0	0	55	391	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	730	0	47	0	198	611	531
1202fd26bfb88a2f80397601d470cb5b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0
123249ae7edc1a5664e2a52fb41d171c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2371	0	0	0	0
178f50a8b935f3678f79c03a2b8d2c5f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0
