# Constructed from biom file
#OTU ID	SRR5989520	SRR5989522	SRR5989523	SRR5989524	SRR5989525	SRR5989528	SRR5989529	SRR5989530	SRR5989533	SRR5989534	SRR5989535	SRR5989547	SRR5989548	SRR5989550	SRR5989555	SRR5989557	SRR5989558	SRR5989559	SRR5989566	SRR5989567	SRR5989570	SRR5989571	SRR5989575	SRR5989576	SRR5989577	SRR5989578	SRR5989581	SRR5989585	SRR5989592	SRR5989593	SRR5989594	SRR5989595	SRR5989596	SRR5989597	SRR5989598	SRR5989599	SRR5989600	SRR5989601	SRR5989602	SRR5989603	SRR5989604	SRR5989615	SRR5989617	SRR5989618	SRR5989619	SRR5989620	SRR5989621	SRR5989622	SRR5989623	SRR5989625	SRR5989626	SRR5989628
b9779a83e705307c6596e4741240726c	203.0	181.0	115.0	232.0	187.0	24.0	72.0	32.0	29.0	20.0	24.0	15951.0	7642.0	140.0	2350.0	15.0	35.0	17.0	35.0	39.0	61017.0	53089.0	573.0	44524.0	12062.0	9963.0	2203.0	27.0	1053.0	10711.0	4508.0	51848.0	48114.0	51494.0	52295.0	57381.0	46186.0	19083.0	50816.0	51285.0	54234.0	20.0	231.0	89.0	84.0	39.0	8.0	0.0	76617.0	164.0	168.0	33.0
e0b0817162b44d0e17a1c50486839924	11116.0	14203.0	12241.0	14080.0	13601.0	7799.0	15523.0	11110.0	7702.0	9871.0	13225.0	1642.0	4274.0	8042.0	4317.0	11443.0	7304.0	9103.0	11872.0	10428.0	131.0	143.0	8660.0	462.0	5513.0	4750.0	3069.0	10936.0	10615.0	325.0	1480.0	965.0	477.0	374.0	323.0	42.0	1193.0	1511.0	361.0	114.0	293.0	10471.0	15059.0	9045.0	14116.0	12072.0	2587.0	43.0	404.0	12599.0	12654.0	13118.0
5279cf5bf096ad48a90a13a9caa1643e	9742.0	12953.0	10803.0	12682.0	12389.0	7108.0	13776.0	10192.0	6910.0	8719.0	11875.0	1611.0	3815.0	7370.0	3979.0	10247.0	6503.0	8184.0	10770.0	9420.0	143.0	136.0	7664.0	433.0	5042.0	4411.0	2690.0	9782.0	9952.0	332.0	1307.0	909.0	451.0	387.0	272.0	21.0	1102.0	1474.0	392.0	99.0	250.0	9298.0	13534.0	8114.0	12721.0	10570.0	114.0	0.0	324.0	11503.0	11704.0	12222.0
75e69ac35f8b5786cf860f3f0be74929	9970.0	7052.0	10186.0	8885.0	8671.0	4783.0	6117.0	10648.0	4662.0	4737.0	8826.0	3882.0	4408.0	7270.0	17992.0	8488.0	3808.0	7864.0	6367.0	11183.0	433.0	322.0	13380.0	2656.0	2301.0	7392.0	15121.0	5787.0	7669.0	1900.0	2377.0	1777.0	867.0	546.0	848.0	103.0	1706.0	3072.0	559.0	318.0	461.0	11979.0	10673.0	6480.0	7319.0	12696.0	121.0	0.0	238.0	8500.0	9857.0	6136.0
c764d61dc0ee11a504bfcf2d01ab4aa6	94.0	72.0	48.0	108.0	50.0	10.0	34.0	15.0	11.0	0.0	6.0	4582.0	2209.0	57.0	663.0	4.0	12.0	5.0	11.0	13.0	21509.0	21632.0	208.0	14478.0	3401.0	2437.0	565.0	14.0	378.0	3035.0	1237.0	18785.0	17974.0	18639.0	17909.0	20761.0	17163.0	7083.0	19018.0	18292.0	19813.0	8.0	104.0	25.0	29.0	14.0	2.0	0.0	27596.0	56.0	88.0	17.0
2dc2cf60102ff00cd077f2304ec84d06	1444.0	3048.0	1138.0	2598.0	3174.0	312.0	371.0	475.0	2170.0	1771.0	817.0	573.0	1236.0	4955.0	1340.0	330.0	200.0	391.0	1862.0	732.0	714.0	806.0	2500.0	2072.0	418.0	3631.0	9772.0	1880.0	1154.0	608.0	14131.0	1053.0	759.0	706.0	711.0	761.0	1321.0	557.0	749.0	682.0	888.0	994.0	876.0	555.0	3137.0	1178.0	151.0	2.0	1199.0	2514.0	2093.0	2913.0
25be8565bb6d4b0ebcfc117225491be2	1194.0	2591.0	1370.0	2235.0	1407.0	1264.0	2792.0	2274.0	638.0	258.0	3212.0	349.0	1264.0	508.0	697.0	2981.0	2307.0	4863.0	661.0	3308.0	42.0	31.0	588.0	0.0	1115.0	533.0	184.0	1869.0	1407.0	27.0	120.0	190.0	104.0	50.0	70.0	0.0	87.0	241.0	62.0	14.0	21.0	3061.0	3519.0	2447.0	1006.0	3285.0	162.0	5.0	27.0	1987.0	1288.0	732.0
84143a32a142a2e05f3584b3efc8a96f	1024.0	2452.0	1184.0	1976.0	1310.0	1222.0	2625.0	2178.0	563.0	251.0	3037.0	279.0	1198.0	499.0	592.0	2772.0	2214.0	4488.0	537.0	2968.0	17.0	0.0	536.0	30.0	1003.0	528.0	188.0	1770.0	1314.0	35.0	104.0	201.0	85.0	27.0	45.0	0.0	102.0	226.0	72.0	12.0	22.0	2845.0	3096.0	2225.0	988.0	3134.0	383.0	0.0	20.0	1795.0	1110.0	661.0
6914dd63f587c01fcc871d90ac6f57d7	10.0	9.0	3.0	8.0	7.0	0.0	6.0	0.0	3.0	0.0	4.0	498.0	207.0	6.0	57.0	2.0	0.0	0.0	0.0	2.0	3127.0	3060.0	25.0	2055.0	315.0	269.0	105.0	0.0	35.0	342.0	162.0	2393.0	2314.0	2282.0	2236.0	2919.0	2390.0	952.0	2546.0	2973.0	3103.0	0.0	9.0	0.0	5.0	7.0	0.0	0.0	3870.0	8.0	9.0	0.0
94cb8b6fb586e9fe9607e3e52891c49a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	560.0	297.0	0.0	89.0	0.0	0.0	0.0	0.0	0.0	2382.0	2396.0	26.0	1744.0	397.0	337.0	74.0	0.0	48.0	456.0	177.0	2115.0	2124.0	2146.0	2151.0	2427.0	1978.0	864.0	2335.0	2105.0	2387.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3298.0	0.0	0.0	0.0
