SampleID	SourceID	SourceDir
SRR5989559	saliva	/Users/liaoc/Projects/OralPerc/examples/Li_IJOS_2019/saliva
SRR5989558	saliva	/Users/liaoc/Projects/OralPerc/examples/Li_IJOS_2019/saliva
SRR5989557	saliva	/Users/liaoc/Projects/OralPerc/examples/Li_IJOS_2019/saliva
SRR5989567	saliva	/Users/liaoc/Projects/OralPerc/examples/Li_IJOS_2019/saliva
SRR5989566	saliva	/Users/liaoc/Projects/OralPerc/examples/Li_IJOS_2019/saliva
SRR5989585	saliva	/Users/liaoc/Projects/OralPerc/examples/Li_IJOS_2019/saliva
SRR5989530	saliva	/Users/liaoc/Projects/OralPerc/examples/Li_IJOS_2019/saliva
SRR5989529	saliva	/Users/liaoc/Projects/OralPerc/examples/Li_IJOS_2019/saliva
SRR5989528	saliva	/Users/liaoc/Projects/OralPerc/examples/Li_IJOS_2019/saliva
SRR5989535	saliva	/Users/liaoc/Projects/OralPerc/examples/Li_IJOS_2019/saliva
SRR5989534	saliva	/Users/liaoc/Projects/OralPerc/examples/Li_IJOS_2019/saliva
SRR5989533	saliva	/Users/liaoc/Projects/OralPerc/examples/Li_IJOS_2019/saliva
SRR5989620	saliva	/Users/liaoc/Projects/OralPerc/examples/Li_IJOS_2019/saliva
SRR5989617	saliva	/Users/liaoc/Projects/OralPerc/examples/Li_IJOS_2019/saliva
SRR5989618	saliva	/Users/liaoc/Projects/OralPerc/examples/Li_IJOS_2019/saliva
SRR5989615	saliva	/Users/liaoc/Projects/OralPerc/examples/Li_IJOS_2019/saliva
SRR5989628	saliva	/Users/liaoc/Projects/OralPerc/examples/Li_IJOS_2019/saliva
SRR5989619	saliva	/Users/liaoc/Projects/OralPerc/examples/Li_IJOS_2019/saliva
SRR5989625	saliva	/Users/liaoc/Projects/OralPerc/examples/Li_IJOS_2019/saliva
SRR5989626	saliva	/Users/liaoc/Projects/OralPerc/examples/Li_IJOS_2019/saliva
SRR5989524	saliva	/Users/liaoc/Projects/OralPerc/examples/Li_IJOS_2019/saliva
SRR5989525	saliva	/Users/liaoc/Projects/OralPerc/examples/Li_IJOS_2019/saliva
SRR5989522	saliva	/Users/liaoc/Projects/OralPerc/examples/Li_IJOS_2019/saliva
SRR5989523	saliva	/Users/liaoc/Projects/OralPerc/examples/Li_IJOS_2019/saliva
SRR5989520	saliva	/Users/liaoc/Projects/OralPerc/examples/Li_IJOS_2019/saliva
SRR5989623	saliva	/Users/liaoc/Projects/OralPerc/examples/Li_IJOS_2019/saliva
SRR5989601	saliva	/Users/liaoc/Projects/OralPerc/examples/Li_IJOS_2019/saliva
SRR5989602	saliva	/Users/liaoc/Projects/OralPerc/examples/Li_IJOS_2019/saliva
SRR5989599	saliva	/Users/liaoc/Projects/OralPerc/examples/Li_IJOS_2019/saliva
SRR5989600	saliva	/Users/liaoc/Projects/OralPerc/examples/Li_IJOS_2019/saliva
SRR5989597	saliva	/Users/liaoc/Projects/OralPerc/examples/Li_IJOS_2019/saliva
SRR5989598	saliva	/Users/liaoc/Projects/OralPerc/examples/Li_IJOS_2019/saliva
SRR5989595	saliva	/Users/liaoc/Projects/OralPerc/examples/Li_IJOS_2019/saliva
SRR5989596	saliva	/Users/liaoc/Projects/OralPerc/examples/Li_IJOS_2019/saliva
SRR5989603	saliva	/Users/liaoc/Projects/OralPerc/examples/Li_IJOS_2019/saliva
SRR5989604	saliva	/Users/liaoc/Projects/OralPerc/examples/Li_IJOS_2019/saliva
SRR5989571	saliva	/Users/liaoc/Projects/OralPerc/examples/Li_IJOS_2019/saliva
SRR5989570	saliva	/Users/liaoc/Projects/OralPerc/examples/Li_IJOS_2019/saliva
SRR5989555	saliva	/Users/liaoc/Projects/OralPerc/examples/Li_IJOS_2019/saliva
SRR5989577	saliva	/Users/liaoc/Projects/OralPerc/examples/Li_IJOS_2019/saliva
SRR5989578	saliva	/Users/liaoc/Projects/OralPerc/examples/Li_IJOS_2019/saliva
SRR5989575	saliva	/Users/liaoc/Projects/OralPerc/examples/Li_IJOS_2019/saliva
SRR5989576	saliva	/Users/liaoc/Projects/OralPerc/examples/Li_IJOS_2019/saliva
SRR5989581	saliva	/Users/liaoc/Projects/OralPerc/examples/Li_IJOS_2019/saliva
SRR5989592	saliva	/Users/liaoc/Projects/OralPerc/examples/Li_IJOS_2019/saliva
SRR5989593	saliva	/Users/liaoc/Projects/OralPerc/examples/Li_IJOS_2019/saliva
SRR5989594	saliva	/Users/liaoc/Projects/OralPerc/examples/Li_IJOS_2019/saliva
SRR5989548	saliva	/Users/liaoc/Projects/OralPerc/examples/Li_IJOS_2019/saliva
SRR5989547	saliva	/Users/liaoc/Projects/OralPerc/examples/Li_IJOS_2019/saliva
SRR5989550	saliva	/Users/liaoc/Projects/OralPerc/examples/Li_IJOS_2019/saliva
