ASV	SRR5989621
b9779a83e705307c6596e4741240726c	8.0
e0b0817162b44d0e17a1c50486839924	2587.0
5279cf5bf096ad48a90a13a9caa1643e	114.0
75e69ac35f8b5786cf860f3f0be74929	121.0
c764d61dc0ee11a504bfcf2d01ab4aa6	2.0
2dc2cf60102ff00cd077f2304ec84d06	151.0
25be8565bb6d4b0ebcfc117225491be2	162.0
84143a32a142a2e05f3584b3efc8a96f	383.0
edf83da6a493c4a3721701bdfde3afd9	40.0
1cd30fcbf9157649a8933f4b41240f95	22.0
091a6fe437c9cd2484dd25e69c690bf6	194.0
386a607b118090dd71bfc8b4b4081447	157.0
9bf1ebf9803953c56525c16688a927a1	43.0
0f898170dbe4592000abdcde0dd2ba2e	47.0
250a576e3788b3f444938c7b08afb2e3	3662.0
123249ae7edc1a5664e2a52fb41d171c	2371.0
7f67a4e077b4a086d3d6e5f50e9dde02	12.0
632a77028290d1ecbd9bfe2958610b8c	2141.0
7c821085a5548386a8d91fe359fa3ff3	1922.0
30046330efe846755db9f850b47e7790	67.0
b6079e93ec50436dd7bbb4e9ce610fa9	1677.0
3d0bc2e274166354e9bfb25fdd50363a	71.0
f2d099ef5556f02539ded15181a3d994	171.0
4481bc66d3a54f79e6abb8b557a2a104	56.0
388b693c2fd21798432bcf24725efba4	1285.0
969732ae717bf5a9282f4781499aadb4	913.0
7f2d59bce0f46ccdad2c8d936f85f340	3.0
56b08b3fbdf6bf8b41c0864c5c53c524	723.0
1c6bf8efe709f63c28e0225da6870395	598.0
8daab49003dfc975db2139efcdb6f57a	650.0
eee2b5b767ca11b78056ac467fca4b74	528.0
652792943c85691f77003395e5123d32	473.0
fbfb2d87e3e9be223ed36852513d8bed	467.0
6e74485ed7cf0a26b368fc5897ffd172	451.0
42604f7f8bfc866837a5370b4b667382	402.0
c4228a5878f56464e576996e95eefc5e	401.0
a3f75d1d06acabb57628e1ad2010511b	221.0
f0393631857831ea6e98e697bb50431c	209.0
cb3f42ad378ddeda014d895db355586b	200.0
ed32eeb458a2b9bdee12e2db96fcb98b	193.0
28b09b766da0307573913dacd4645fc9	190.0
3fae853851bfe19cdb50e15749f373b6	186.0
860379b0caea95824ac8035507127cb1	181.0
e9eb395f63042dc43a06bbe794991c08	175.0
31bbce089d9b34cf2c4142a1e6ebeb30	174.0
6d547ff67cfe5d9e34df30bdedd05db0	165.0
1f34096589b67b6df0bcf87c4cb372ad	161.0
37d30f8109745b8f48bc05352fdb0b43	149.0
7e37c37ed99c3ea20b812daaf265056c	145.0
1202fd26bfb88a2f80397601d470cb5b	135.0
2094eb267910dcd8989f988b3b1d22cc	128.0
288692960f6deddbef8335047c2b6cbc	120.0
5b239eddc0c4c102c7f721bae475cf22	113.0
b50b21f87548e8f4d27ff93a1adbb677	113.0
60be14758353005f6a3069c74ba2eddb	89.0
c8c7b4a35c351cff8c9e7f6da30e6ff4	82.0
9347c6735661942a7940c1732e0702e1	82.0
b6597ed0ca2addf7349b5e40cf56bea4	85.0
81b95cf5e2e0e3f7579b7dfa4b2ebed0	77.0
ecd7a4f5f3d286321123fbf1a6eb3c11	77.0
95c08da59378a0eb674c2b7dab943428	76.0
d6ee04a675d34d811680c7f5ec9954ac	74.0
a40c50a6afa61f63a2e8bd1dcc86d291	23.0
5287b1c7035323169033402bee2a1d1c	4.0
8e015fe79b48dab7a5e0049958ccaad0	67.0
e86274e8ef210746087466f82f30a15f	66.0
d2b5aae991a445b7c809db720b3668c0	63.0
b9370ea036a7d444de9f09517a65a564	60.0
369fbaf59b969dfaa6af5bc7f769fd49	59.0
f763108e7b770c7a263b24668aba8b2b	58.0
c33e6fbf84972ed3476dfd367a2965e1	58.0
c9bc4c8493aeaa751447193425bfe857	57.0
2efce2c4dd0e2d0cb53731cbe1627656	57.0
ce72596bf76c3590737227621111a92f	57.0
c6ec2570986b99307efdb49ab3bcdd0d	57.0
023dacb5ea66c0dde52536497db76f80	55.0
5b14b7a2ed491e1b50ae6f6c1afc8682	53.0
750e2378f49ddd6da6ee53f07d8e08f7	51.0
21d47f8c6080e17ebdb50ed42f35e2b0	40.0
4b930de5b55f75b8156bee52835cdafa	49.0
0952409f76acc93b434ab35321aa27da	48.0
a066f0b1116deb1e446a3f721cd7c171	44.0
e093aa9518e362cad22b8cbd85aabdaf	42.0
7ef2ef652a086a84992b9c67f934fe22	42.0
af7dcd5cd130f95364c0d37723fd83ad	41.0
89879e3f6e9a406d9ddd9180b5619eee	40.0
359b8f6286021c2a797a525a20c6d33b	40.0
aa90764b34aac830a230617f4aa5cdba	39.0
e9beab84d30759365471da4d11d39e1d	38.0
ff968e501a6e17a3ef8fc59ff906d394	36.0
7d9a4e470ea148649b2b52c685371125	36.0
87c24218a43a5cb04641b02044a0fa2d	33.0
6a49b0df18b1abfe220ecc00d5cbf296	33.0
fae1d9c6581c575b636026a54716625e	31.0
5047a1dd37a5292b8dc8953b75fe9276	30.0
2a28982df1e6b16f1f7c772d76746276	29.0
304a3df568087b761af6bca76a3816aa	29.0
178f50a8b935f3678f79c03a2b8d2c5f	29.0
26de4690cd2c89c490c37a8d1418d67a	28.0
6b4968c28370ccf5c24ddd8a6c59b7fa	28.0
f55e6f0203460ecfb665c9dbc579b714	26.0
644049b2fa1363e0134dae0ab4a1ca50	21.0
c38ee4acf990375c9b9df651cf77bf7c	25.0
908d85bc0d55d2150a92bf48772b2b3f	23.0
34577061c1806f7500d6d08867eaafd3	22.0
5431c93e93b57f0b74748eb702ea1e72	22.0
5798607f78819ba354bdb9a02cca2ecc	22.0
6545176af2fa076f03140433793c0d00	20.0
b6cada6727ff2cfd7a9030266d599534	19.0
2ddd18d49a8163e0fc79e28ea6273254	19.0
b73c9d186b67a61bce0ba79c990aef39	19.0
3f870281730e3e8baf0b59acb821cfa4	18.0
7c53ab0b219ad7f1e68db658b06a2112	17.0
b5c3abd1c966bb0457d8dfe34c35b160	17.0
afce1dc2c06acb90ad5d3da0fffbcd02	17.0
c99ef27a6a99d35c3da0b2889c5b22f6	16.0
8ba3ddead74623ec33330d15eaff5457	15.0
1bdf75129ee1f266e1d50ea69f1aa07c	15.0
082f5eb2bc1e2ada0d7487422568ca5c	15.0
31d077451e59704793b02f048b47e881	15.0
c8b30b54ebea7896791c109bc18770ab	14.0
333726b64486fdbc540c956ca3abd415	14.0
d814b31804a43be65568cb4f93fbbaf4	14.0
22934af8e08de5a0b375f5fb6ecd3261	14.0
0079b124f1fc509c2e4c8de0203f201a	13.0
da201ed8bb027b12bd3f9f6708711442	13.0
71fa86689b9860933f9b3787586a3e9a	11.0
2c9372c9e2ea858bedf2df2fc828dcf0	10.0
d6dd3e31efb998491ac861a748c7ee7d	10.0
6d60f35ea0ac713e9c0c02e9c12915b8	9.0
8244a0443612b5313bba415cd32c7a92	9.0
e1a9800482df461df81429b3b8f859a1	9.0
64b82a5c221cd7df209d8d2bc596c43c	9.0
45bdd2ca4683dc78ba205f44df645da0	9.0
6eee0ca5b27e89ca22956429494be0ad	8.0
1ce0d1cfa2c68160f70e20616d2d4bc2	8.0
da15e1acf22c5d205a5da37e6c6e792f	8.0
de45ad795831b3ac0aae5e49cd078ff0	7.0
bc220f0642fc0da8bfaa703b10337cce	7.0
6bf2414103f2ae11f0f872d03d711d31	7.0
1e3fd8730f63187115f62d94d611825f	7.0
5b7c54efe934bc695fcca0e8045be6d4	6.0
eb2d2db64b376234ce0d9ad48f5e198a	6.0
d7158c5a2828e52c180a8c269ec346e8	6.0
